time, Quad.Est.E.Pos, Quad.Est.S.Z
2.185024,0.157676,0.339196
2.190024,0.157544,0.339320
2.195023,0.157417,0.339506
2.200023,0.157548,0.339632
2.205023,0.190112,0.338505
2.210022,0.190040,0.338621
2.215022,0.190105,0.338794
2.220021,0.190166,0.338911
2.225021,0.190205,0.339086
2.230021,0.190149,0.339203
2.235020,0.190196,0.339380
2.240020,0.190210,0.339498
2.245020,0.190243,0.339676
2.250019,0.190289,0.339796
2.255019,0.190346,0.339975
2.260019,0.190454,0.340096
2.265018,0.190506,0.340277
2.270018,0.190559,0.340399
2.275017,0.190637,0.340581
2.280017,0.190617,0.340704
2.285017,0.190663,0.340888
2.290016,0.190651,0.341012
2.295016,0.190658,0.341198
2.300016,0.190791,0.341322
2.305015,0.200694,0.340200
2.310015,0.200933,0.340314
2.315015,0.201097,0.340487
2.320014,0.201248,0.340603
2.325014,0.201401,0.340778
2.330014,0.201482,0.340894
2.335013,0.201629,0.341070
2.340013,0.201722,0.341188
2.345012,0.201819,0.341366
2.350012,0.201873,0.341484
2.355012,0.201949,0.341663
2.360011,0.202009,0.341783
2.365011,0.202059,0.341964
2.370011,0.202023,0.342085
2.375010,0.202030,0.342267
2.380010,0.202091,0.342389
2.385010,0.202088,0.342572
2.390009,0.202362,0.342695
2.395009,0.202382,0.342881
2.400008,0.202433,0.343005
2.405008,0.221476,0.341885
2.410008,0.221606,0.342000
2.415007,0.221819,0.342172
2.420007,0.221994,0.342287
2.425007,0.222115,0.342461
2.430006,0.222129,0.342577
2.435006,0.222234,0.342753
2.440006,0.222304,0.342870
2.445005,0.222390,0.343047
2.450005,0.222405,0.343165
2.455004,0.222423,0.343343
2.460004,0.222473,0.343463
2.465004,0.222526,0.343642
2.470003,0.222557,0.343763
2.475003,0.222581,0.343944
2.480003,0.222618,0.344065
2.485002,0.222648,0.344248
2.490002,0.222525,0.344371
2.495002,0.222482,0.344555
2.500001,0.222459,0.344679
2.505001,0.179981,0.343563
2.510000,0.180040,0.343677
2.515000,0.179810,0.343848
2.520000,0.179595,0.343963
2.524999,0.179323,0.344136
2.529999,0.179214,0.344252
2.534999,0.178842,0.344427
2.539998,0.178564,0.344543
2.544998,0.178127,0.344719
2.549998,0.177807,0.344837
2.554997,0.177315,0.345015
2.559997,0.176944,0.345134
2.564996,0.176408,0.345313
2.569996,0.175939,0.345432
2.574996,0.175356,0.345613
2.579995,0.175174,0.345734
2.584995,0.174601,0.345916
2.589995,0.174162,0.346038
2.594994,0.173573,0.346222
2.599994,0.173044,0.346345
2.604994,0.188817,0.345232
2.609993,0.188606,0.345346
2.614993,0.188281,0.345517
2.619992,0.188121,0.345631
2.624992,0.187766,0.345803
2.629992,0.187467,0.345919
2.634991,0.187100,0.346093
2.639991,0.186838,0.346209
2.644991,0.186474,0.346384
2.649990,0.186160,0.346501
2.654990,0.185688,0.346678
2.659990,0.185465,0.346797
2.664989,0.184979,0.346975
2.669989,0.184513,0.347094
2.674989,0.183996,0.347274
2.679988,0.183612,0.347394
2.684988,0.183067,0.347576
